2020-09-13 15:44:52:224 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 16:00:30:094 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 16:01:31:774 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 16:02:12:568 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 16:02:22:234 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 16:02:35:913 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 16:04:57:908 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 16:05:54:381 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 16:26:50:980 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 16:32:48:119 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 16:33:14:413 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 16:45:26:054 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 16:46:36:466 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 16:49:44:842 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 16:49:53:934 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 16:59:40:197 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 17:03:34:957 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 17:21:43:133 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 17:21:55:185 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 17:22:04:209 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 17:22:11:551 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 17:22:36:995 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 17:23:38:250 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 19:33:37:224 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 21:01:37:927 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 21:07:08:673 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 21:11:55:059 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 21:27:29:610 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 21:45:39:733 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 22:05:22:156 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
