2020-09-12 11:26:46:849 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-12 11:34:55:158 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-12 19:31:45:238 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-12 19:34:23:454 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-12 19:43:55:093 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-12 19:43:59:609 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-12 19:46:49:784 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-12 19:47:14:349 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-12 19:47:21:986 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-12 19:47:57:308 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-12 19:48:19:421 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-12 19:51:46:487 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-12 19:51:57:513 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-12 19:54:15:901 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-12 20:02:45:185 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-12 20:02:57:260 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-12 20:04:15:624 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-12 20:27:47:409 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
